Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
 72.74      0.08     0.08  3230229     0.02     0.03  Community::Community(Community const&)
  9.09      0.09     0.01  8063969     0.00     0.00  Point::Point(Point const&)
  9.09      0.10     0.01  1680665     0.01     0.01  __gnu_cxx::__promote_2<double, int, __gnu_cxx::__promote<double, std::__is_integer<double>::__value>::__type, __gnu_cxx::__promote<int, std::__is_integer<int>::__value>::__type>::__type std::pow<double, int>(double, int)
  9.09      0.11     0.01  1605705     0.01     0.01  bool __gnu_cxx::operator!=<Person*, std::vector<Person, std::allocator<Person> > >(__gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > > const&, __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > > const&)
  0.00      0.11     0.00  8066491     0.00     0.00  Point::~Point()
  0.00      0.11     0.00  3231235     0.00     0.00  Community::~Community()
  0.00      0.11     0.00  3211450     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::base() const
  0.00      0.11     0.00  1604011     0.00     0.00  Person::~Person()
  0.00      0.11     0.00  1603511     0.00     0.06  Person::Person(Person const&)
  0.00      0.11     0.00  1602500     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::operator++()
  0.00      0.11     0.00  1602500     0.00     0.00  __gnu_cxx::__normal_iterator<Person*, std::vector<Person, std::allocator<Person> > >::operator*() const
  0.00      0.11     0.00   839112     0.00     0.01  distance(Coordinate, Coordinate)
  0.00      0.11     0.00   468016     0.00     0.00  std::vector<double, std::allocator<double> >::size() const
  0.00      0.11     0.00   461764     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  0.00      0.11     0.00   461760     0.00     0.00  std::vector<double, std::allocator<double> >::_M_range_check(unsigned long) const
  0.00      0.11     0.00   461760     0.00     0.00  std::vector<double, std::allocator<double> >::at(unsigned long)
  0.00      0.11     0.00   157170     0.00     0.00  std::vector<Person, std::allocator<Person> >::operator[](unsigned long)
  0.00      0.11     0.00   136356     0.00     0.00  Point::position()
  0.00      0.11     0.00   120040     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.11     0.00   117150     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::base() const
  0.00      0.11     0.00    99962     0.00     0.00  Point::approach_radius()
  0.00      0.11     0.00    97625     0.00     0.00  __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > >::__normal_iterator(double const* const&)
  0.00      0.11     0.00    58575     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00      0.11     0.00    58575     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.11     0.00    43914     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.11     0.00    41000     0.00     0.00  Person::position()
  0.00      0.11     0.00    40000     0.00     0.00  void __gnu_cxx::new_allocator<double>::construct<double, double>(double*, double&&)
